_id,type,createdAt,data
615d8f078285f9631bc2db05,expert,2021-10-06 11:56:55.622,newsletter
615e0a3c8285f9631bc2dc18,expert,2021-10-06 20:42:36.487,newsletter
61600e068285f9631bc2dd69,expert,2021-10-08 09:23:18.786,newsletter
616446ae8285f9631bc2df91,company,2021-10-11 14:14:06.570,newsletter
6166ade0772fd30831cfebf5,expert,2021-10-13 09:58:56.918,newsletter
618e29d73b46e1617ab35fbf,expert,2021-11-12 08:46:15.499,newsletter
6192537c3503294815229c98,expert,2021-11-15 12:33:00.516,newsletter
61931dab3503294815229d22,expert,2021-11-16 02:55:39.085,newsletter
619e5d7a350329481522a4da,expert,2021-11-24 15:42:50.369,newsletter
619f4fcf350329481522a534,expert,2021-11-25 08:56:47.882,newsletter
61a4c9712314dc0c6f4acfd2,company,2021-11-29 12:37:05.031,newsletter
61a640c72314dc0c6f4ad1e2,company,2021-11-30 15:18:31.507,newsletter
61bcf8bb2314dc0c6f4ae32a,expert,2021-12-17 20:53:15.057,newsletter
61c30102c9f6ca32ad4fe078,expert,2021-12-22 10:42:10.394,newsletter
61cdb977ca71a24b561b7afd,expert,2021-12-30 13:51:51.044,newsletter
61df1cc6f18aaa130b6cd002,expert,2022-01-12 18:24:06.956,newsletter
61e6e1b841979a0867313dc6,expert,2022-01-18 15:50:16.958,newsletter
61e7f05141979a0867313e73,expert,2022-01-19 11:04:49.768,newsletter
6201346c95e32c4827f9b9e0,expert,2022-02-07 15:02:04.026,newsletter
6202bcff95e32c4827f9bb49,expert,2022-02-08 18:57:03.935,newsletter
621e1ed0240f4e2730b149dc,expert,2022-03-01 13:25:36.106,newsletter
621f3fa0240f4e2730b14aff,expert,2022-03-02 09:57:52.974,newsletter
622320e3316ade097cd53ad2,expert,2022-03-05 08:35:47.360,newsletter
6241d186c60bd00898a38455,expert,2022-03-28 15:17:26.667,newsletter
624a8c8cc60bd00898a38d5f,expert,2022-04-04 06:13:32.841,newsletter
62593b54a6a5e0544be60cab,expert,2022-04-15 09:31:00.915,newsletter
6262e05814c13d7d18f89ff2,company,2022-04-22 17:05:28.938,newsletter
627b8c50f655943d90a6369b,expert,2022-05-11 10:13:36.191,newsletter
6293ec571fbb047964271bf7,company,2022-05-29 21:57:43.000,newsletter
62a6f7d3d57a952ac7f6dd76,company,2022-06-13 08:39:47.925,newsletter
62ada99a1af84f2e05cd47b3,company,2022-06-18 10:31:54.834,newsletter
62b5694ab92b4e1a8ec36631,expert,2022-06-24 07:35:38.103,newsletter
62cbf526c43a1c07852b6ee9,expert,2022-07-11 10:02:14.747,newsletter
62d9081ef5e6794d89e1dcc3,expert,2022-07-21 08:02:38.644,newsletter
62d90833f5e6794d89e1dcc5,company,2022-07-21 08:02:59.323,newsletter
631bad8e54f3b47232b1fb29,expert,2022-09-09 21:18:06.333,newsletter
6321504717c00b0d682ddee6,expert,2022-09-14 03:53:43.379,newsletter
6329beae22d1f03a8a691cb2,expert,2022-09-20 13:22:54.550,newsletter
633af0bb1f9a8817f3781e59,expert,2022-10-03 14:24:59.033,newsletter
635674550fd435728656c82b,expert,2022-10-24 11:17:41.237,newsletter
6357f365623eed76be045a05,expert,2022-10-25 14:32:05.724,newsletter
636eeee5231df95a4ccc054f,expert,2022-11-12 00:55:01.664,newsletter
6389a8a5d10d072727c11b5b,expert,2022-12-02 07:26:29.500,newsletter
63909b7366eff2145f4f2ef6,expert,2022-12-07 13:56:03.943,newsletter
63a6db7e783ece5a08669223,expert,2022-12-24 10:59:10.691,newsletter
63aecca9783ece5a08669aed,expert,2022-12-30 11:34:01.978,newsletter
63bed7ace4ad45260849962f,expert,2023-01-11 15:37:16.283,newsletter
63d0fc823d805d489fa396c7,expert,2023-01-25 09:55:14.413,newsletter
63d19d2588160d0bd8626391,company,2023-01-25 21:20:37.164,newsletter
63da77d0becf325848a4a19b,expert,2023-02-01 14:31:44.396,newsletter
63dd27929db7350d41863dc2,expert,2023-02-03 15:26:10.365,newsletter
63e26eb00836560f18738699,expert,2023-02-07 15:30:56.955,newsletter
63edfe2fc21e125db591ce6f,company,2023-02-16 09:58:07.295,newsletter
63edfe47c21e125db591ce70,expert,2023-02-16 09:58:31.938,newsletter
63f3e845be74f3780363bdd4,company,2023-02-20 21:38:13.884,newsletter
63f3e854be74f3780363bdd5,company,2023-02-20 21:38:28.256,newsletter
63f4f81a3679985c6148ab4c,expert,2023-02-21 16:58:02.601,newsletter
63f5f56aeae8bb0eff624f28,expert,2023-02-22 10:58:50.021,newsletter
63f631b97eeabc22ed2a0c15,expert,2023-02-22 15:16:09.942,newsletter
63f655857eeabc22ed2a0c68,expert,2023-02-22 17:48:53.376,newsletter
64022d6ead121b1000e288bf,expert,2023-03-03 17:25:02.853,newsletter
64106c6f0b432e1b36aca096,expert,2023-03-14 12:45:35.878,newsletter
6414157d43068357ef842748,expert,2023-03-17 07:23:41.125,newsletter
642e8e0a9f46956268c34a43,company,2023-04-06 09:16:58.624,newsletter
6437037e8d41ed32e877051c,expert,2023-04-12 19:16:14.387,newsletter
643703888d41ed32e877051d,company,2023-04-12 19:16:24.164,newsletter
6454c30a8eb450085c332a70,expert,2023-05-05 08:49:14.309,newsletter
645933e28eb450085c33305d,expert,2023-05-08 17:39:46.425,newsletter
646b6e1e7818b449e7ace46d,expert,2023-05-22 13:29:02.940,newsletter
646b6e547818b449e7ace46e,company,2023-05-22 13:29:56.565,newsletter
6470bbfe822ca22d226b68b7,expert,2023-05-26 14:02:38.267,newsletter
64917347be132659d9fe2249,expert,2023-06-20 09:37:11.468,newsletter
64917390be132659d9fe224d,company,2023-06-20 09:38:24.670,newsletter
6491d24cbe132659d9fe2395,expert,2023-06-20 16:22:36.566,newsletter
649e8180e0843b7be97f4cc0,expert,2023-06-30 07:17:20.494,newsletter
64a9495a0c73164841e4c8db,company,2023-07-08 11:32:42.279,newsletter
65008544f95a870ce72f8720,expert,2023-09-12 15:35:32.874,newsletter
6500856af95a870ce72f8721,company,2023-09-12 15:36:10.435,newsletter
65046b3cf95a870ce72f948b,company,2023-09-15 14:33:32.550,newsletter
65046b45f95a870ce72f948c,expert,2023-09-15 14:33:41.404,newsletter
65046dfcf95a870ce72f94a1,expert,2023-09-15 14:45:16.622,newsletter
650811d4f95a870ce72f9a54,expert,2023-09-18 09:01:08.206,newsletter
65109c12fe291c3794b1efdb,expert,2023-09-24 20:29:06.229,newsletter
